Player	Team	Age	G	GS	CG	SHO	IP	H	ER	K	BB	HR	W	L	SV	BS	HLD	ERA	WHIP
Aaron Nola	PHI	30	7	7	0	0	43.1	35	16	40	15	7	4	1	0	0	0	3.32	1.15
Tyler Glasnow	LAD	30	7	7	0	0	43	28	13	53	12	4	5	1	0	0	0	2.72	0.93
Zack Wheeler	PHI	33	7	7	0	0	42.1	27	9	52	12	3	3	3	0	0	0	1.91	0.92
Dylan Cease	SD	28	7	7	0	0	42.1	20	12	48	14	2	4	2	0	0	0	2.55	0.8
Logan Webb	SF	27	7	7	0	0	42.1	45	14	30	10	1	3	2	0	0	0	2.98	1.3
Ranger Suarez	PHI	28	6	6	1	1	41	21	6	40	5	3	5	0	0	0	0	1.32	0.63
Joe Musgrove	SD	31	8	8	0	0	41	49	29	36	13	10	3	3	0	0	0	6.37	1.51
Hunter Greene	CIN	24	7	7	0	0	40.1	31	14	47	16	2	1	2	0	0	0	3.12	1.17
Martin Perez	PIT	33	7	7	0	0	40	42	14	31	13	2	1	2	0	0	0	3.15	1.38
Mitch Keller	PIT	28	7	7	0	0	40	44	23	39	15	5	2	3	0	0	0	5.18	1.48
Cal Quantrill	COL	29	7	7	0	0	39.2	37	19	26	14	6	1	3	0	0	0	4.31	1.29
Jordan Hicks	SF	27	7	7	0	0	38	25	8	30	14	1	2	1	0	0	0	1.89	1.03
Kyle Gibson	STL	36	6	6	0	0	38	29	16	29	14	6	2	2	0	0	0	3.79	1.13
Kyle Harrison	SF	22	7	7	0	0	38	39	16	38	10	5	2	1	0	0	0	3.79	1.29
Miles Mikolas	STL	35	7	7	0	0	38	46	24	29	7	7	2	4	0	0	0	5.68	1.39
Patrick Corbin	WSH	34	7	7	0	0	37.2	53	27	25	15	4	0	3	0	0	0	6.45	1.81
Chris Sale	ATL	35	6	6	0	0	36.2	28	14	42	7	4	4	1	0	0	0	3.44	0.95
Jose Quintana	NYM	35	7	7	0	0	36.1	40	21	25	16	3	1	3	0	0	0	5.2	1.54
Charlie Morton	ATL	40	6	6	0	0	36	28	14	33	13	3	2	0	0	0	0	3.5	1.14
Michael King	SD	28	7	6	0	0	36	32	20	40	21	10	2	3	0	0	0	5	1.47
Ryan Weathers	MIA	24	7	7	0	0	35.2	34	18	31	15	5	2	3	0	0	0	4.54	1.37
Luis Severino	NYM	30	6	6	0	0	35	26	9	31	11	2	2	2	0	0	0	2.31	1.06
Brandon Pfaadt	ARI	25	6	6	0	0	35	33	18	38	6	5	1	1	0	0	0	4.63	1.11
Shota Imanaga	CHC	30	6	6	0	0	34.2	22	3	35	4	2	5	0	0	0	0	0.78	0.75
Graham Ashcraft	CIN	26	6	6	0	0	34.2	35	14	30	9	5	3	1	0	0	0	3.63	1.27
Yoshinobu Yamamoto	LAD	25	7	7	0	0	34	29	11	42	8	3	3	1	0	0	0	2.91	1.09
Jared Jones	PIT	22	6	6	0	0	34	26	12	42	5	7	2	3	0	0	0	3.18	0.91
Keaton Winn	SF	26	6	6	0	0	34	23	12	28	10	3	3	3	0	0	0	3.18	0.97
Colin Rea	MIL	33	6	6	0	0	33.2	30	10	23	11	5	3	0	0	0	0	2.67	1.22
Freddy Peralta	MIL	27	6	6	0	0	33.2	20	12	45	9	4	3	0	0	0	0	3.21	0.86
Jake Irvin	WSH	27	6	6	0	0	33.2	33	16	26	7	3	2	2	0	0	0	4.28	1.19
Ryan Feltner	COL	27	6	6	0	0	33.1	39	19	33	10	4	1	2	0	0	0	5.13	1.47
Andrew Abbott	CIN	24	6	6	0	0	33	26	12	27	11	5	1	3	0	0	0	3.27	1.12
Spencer Turnbull	PHI	31	6	6	0	0	32.1	17	6	36	10	3	2	0	0	0	0	1.67	0.84
Javier Assad	CHC	26	6	6	0	0	32	23	7	27	9	2	2	0	0	0	0	1.97	1
Zac Gallen	ARI	28	6	6	0	0	32	30	12	35	9	4	3	2	0	0	0	3.38	1.22
Bailey Falter	PIT	27	6	6	0	0	32	23	15	23	7	5	2	2	0	0	0	4.22	0.94
Austin Gomber	COL	30	6	6	0	0	32	32	16	22	11	7	0	2	0	0	0	4.5	1.34
Trevor Williams	WSH	32	6	6	0	0	31.2	25	8	22	12	0	3	0	0	0	0	2.27	1.17
Max Fried	ATL	30	6	6	1	1	31.1	26	14	25	11	2	2	0	0	0	0	4.02	1.18
Trevor Rogers	MIA	26	6	6	0	0	31.1	35	15	27	12	2	0	4	0	0	0	4.31	1.5
MacKenzie Gore	WSH	25	6	6	0	0	31	33	11	38	9	2	2	3	0	0	0	3.19	1.35
Gavin Stone	LAD	25	6	6	0	0	31	29	14	23	13	2	2	1	0	0	0	4.06	1.35
Matt Waldron	SD	27	6	6	0	0	31	32	15	27	10	4	1	3	0	0	0	4.35	1.35
Joe Ross	MIL	30	6	6	0	0	31	36	16	27	12	3	1	3	0	0	0	4.65	1.55
Lance Lynn	STL	36	6	6	0	0	30.2	30	9	29	13	5	1	0	0	0	0	2.64	1.4
Sonny Gray	STL	34	5	5	0	0	30.1	21	3	38	5	1	4	1	0	0	0	0.89	0.86
Dakota Hudson	COL	29	6	6	0	0	30.1	34	20	18	17	3	0	5	0	0	0	5.93	1.68
Reynaldo Lopez	ATL	30	5	5	0	0	30	20	5	31	10	2	2	1	0	0	0	1.5	1
Sean Manaea	NYM	32	6	6	0	0	29.1	24	10	30	18	1	1	1	0	0	0	3.07	1.43
Cristopher Sanchez	PHI	27	6	6	0	0	29.1	32	12	29	13	1	1	3	0	0	0	3.68	1.53
Yu Darvish	SD	37	6	6	0	0	28.2	23	11	25	10	2	1	1	0	0	0	3.45	1.15
Adrian Houser	NYM	31	6	6	0	0	28.2	33	26	16	20	2	0	3	0	0	0	8.16	1.85
Tommy Henry	ARI	26	6	6	0	0	28.1	35	17	24	11	4	1	2	0	0	0	5.4	1.62
Jose Butto	NYM	26	5	5	0	0	28	16	8	31	14	2	0	2	0	0	0	2.57	1.07
Nick Martinez	CIN	33	6	4	0	0	28	36	17	20	3	2	0	2	0	0	1	5.46	1.39
Ben Brown	CHC	24	8	4	0	0	27.2	24	13	27	11	2	0	1	0	0	1	4.23	1.27
Steven Matz	STL	32	6	6	0	0	27.2	37	19	17	11	3	1	2	0	0	0	6.18	1.73
Ryan Yarbrough	LAD	32	9	0	0	0	27	15	9	12	5	3	2	1	1	0	0	3	0.74
Jesus Luzardo	MIA	26	5	5	0	0	26	24	19	27	13	5	0	2	0	0	0	6.58	1.42
James Paxton	LAD	35	5	5	0	0	25.2	21	10	15	22	2	3	0	0	0	0	3.51	1.68
Merrill Kelly	ARI	35	4	4	0	0	24.2	17	6	21	6	3	2	0	0	0	0	2.19	0.93
Nick Lodolo	CIN	26	4	4	0	0	24	15	5	31	6	1	3	0	0	0	0	1.88	0.88
Bryse Wilson	MIL	26	9	3	0	0	24	17	8	21	7	4	2	1	0	0	0	3	1
Jordan Wicks	CHC	24	5	5	0	0	23	26	12	28	9	2	1	2	0	0	0	4.7	1.52
Mitchell Parker	WSH	24	4	4	0	0	21.1	19	6	19	4	0	2	1	0	0	0	2.53	1.08
Kyle Hendricks	CHC	34	5	5	0	0	21	37	28	16	7	8	0	3	0	0	0	12	2.1
Peter Lambert	COL	27	9	2	0	0	20.2	22	13	18	9	2	2	1	0	0	0	5.66	1.5
Bryan Hoeing	MIA	27	11	0	0	0	19.2	13	4	16	5	1	0	0	0	0	2	1.83	0.92
Brent Suter	CIN	34	12	0	0	0	19.2	18	8	17	6	3	0	0	0	0	1	3.66	1.22
Frankie Montas	CIN	31	5	5	0	0	19.1	18	9	14	10	3	2	2	0	0	0	4.19	1.45
Edward Cabrera	MIA	26	4	4	0	0	19.1	19	13	30	10	2	1	1	0	0	0	6.05	1.5
Derek Law	WSH	33	15	0	0	0	19	21	6	20	6	1	2	1	0	1	2	2.84	1.42
Michael Grove	LAD	27	12	1	0	0	19	19	13	23	7	1	1	1	0	0	3	6.16	1.37
Bryce Jarvis	ARI	26	12	0	0	0	18.1	17	9	17	12	2	0	1	0	0	2	4.42	1.58
Jameson Taillon	CHC	32	3	3	0	0	18	14	3	9	3	2	2	0	0	0	0	1.5	0.94
Victor Vodnik	COL	24	13	0	0	0	17.2	18	5	15	8	0	0	0	0	0	0	2.55	1.47
Buck Farmer	CIN	33	12	0	0	0	17.2	13	6	14	5	2	0	0	0	0	0	3.06	1.02
Bryan Hudson	MIL	26	12	0	0	0	17.1	7	1	19	5	1	2	0	0	0	3	0.52	0.69
Ryan Helsley	STL	29	17	0	0	0	17	13	3	19	2	1	2	2	11	1	0	1.59	0.88
Max Meyer	MIA	25	3	3	0	0	17	11	4	14	3	2	2	0	0	0	0	2.12	0.82
Ryan Walker	SF	28	17	1	0	0	17	12	5	21	4	0	3	2	0	0	3	2.65	0.94
Marco Gonzales	PIT	32	3	3	0	0	17	15	5	11	5	1	0	0	0	0	0	2.65	1.18
Hunter Harvey	WSH	29	15	0	0	0	17	14	5	22	4	0	1	1	0	0	11	2.65	1.06
Luis Ortiz	PIT	25	10	0	0	0	17	10	6	14	10	0	1	1	0	1	1	3.18	1.18
Zack Thompson	STL	26	5	2	0	0	17	24	18	20	8	6	0	2	0	0	0	9.53	1.88
Reed Garrett	NYM	31	10	0	0	0	16.2	9	1	28	8	1	5	0	1	1	1	0.54	1.02
Hayden Wesneski	CHC	26	4	2	0	0	16.2	9	1	14	3	0	2	0	0	0	0	0.54	0.72
JoJo Romero	STL	27	16	0	0	0	16.2	8	3	16	2	1	0	0	0	0	11	1.62	0.6
Alex Vesia	LAD	28	16	0	0	0	16.1	8	3	19	12	2	1	2	0	0	2	1.65	1.22
Hunter Stratton	PIT	27	15	0	0	0	16.1	14	5	18	1	2	1	0	1	1	1	2.76	0.92
Matthew Liberatore	STL	24	12	0	0	0	16.1	10	5	10	8	1	1	1	0	0	1	2.76	1.1
Quinn Priester	PIT	23	3	3	0	0	16.1	15	6	11	6	5	0	2	0	0	0	3.31	1.29
Burch Smith	MIA	34	14	0	0	0	16.1	19	6	12	7	0	1	0	0	0	1	3.31	1.59
Slade Cecconi	ARI	24	3	3	0	0	16.1	10	9	15	3	3	1	2	0	0	0	4.96	0.8
DL Hall	MIL	25	4	4	0	0	16.1	27	14	13	10	4	0	1	0	0	0	7.71	2.27
Declan Cronin	MIA	26	10	0	0	0	16	13	3	19	9	0	0	2	0	0	0	1.69	1.38
Jorge Lopez	NYM	31	16	0	0	0	16	12	4	13	6	0	0	0	2	0	3	2.25	1.13
Josh Fleming	PIT	27	13	1	0	0	16	11	4	10	6	1	1	1	1	0	1	2.25	1.06
Jalen Beeks	COL	30	14	0	0	0	16	11	5	12	8	2	2	2	1	1	1	2.81	1.19
Landon Knack	LAD	26	3	3	0	0	16	11	5	11	5	3	1	1	0	0	0	2.81	1
Elvis Peguero	MIL	27	14	0	0	0	16	18	6	15	6	0	4	0	0	0	4	3.38	1.5
Jordan Montgomery	ARI	31	3	3	0	0	16	17	10	8	4	3	1	2	0	0	0	5.63	1.31
Dylan Floro	WSH	33	15	0	0	0	15.2	9	1	13	7	0	0	0	0	0	4	0.57	1.02
Stephen Kolek	SD	27	15	0	0	0	15.2	17	6	14	6	1	0	0	0	0	2	3.45	1.47
Ryne Nelson	ARI	26	4	4	0	0	15.2	19	8	13	5	2	1	2	0	0	0	4.6	1.53
Kyle Freeland	COL	30	4	4	0	0	15.2	32	23	9	8	3	0	3	0	0	0	13.21	2.55
Yuki Matsui	SD	28	16	0	0	0	15.1	9	4	11	8	0	2	0	0	0	4	2.35	1.11
Jhony Brito	SD	26	11	0	0	0	15.1	17	7	7	3	1	0	2	0	3	0	4.11	1.3
Jake Bird	COL	28	14	0	0	0	15.1	16	10	9	9	1	0	1	1	1	3	5.87	1.63
Jeff Hoffman	PHI	31	15	0	0	0	15	9	2	21	5	0	2	0	2	2	4	1.2	0.93
A.J. Minter	ATL	30	17	0	0	0	15	9	4	17	4	3	5	2	0	2	4	2.4	0.87
Daniel Hudson	LAD	37	15	0	0	0	15	13	6	16	1	4	1	1	1	2	7	3.6	0.93
Erik Miller	SF	26	15	1	0	0	15	6	8	19	8	1	0	1	0	1	4	4.8	0.93
Scott McGough	ARI	34	14	0	0	0	15	15	10	9	10	2	1	3	0	2	1	6	1.67
Thyago Vieira	MIL	30	9	0	0	0	14.2	10	8	16	10	3	0	0	1	0	0	4.91	1.36
Wandy Peralta	SD	32	16	0	0	0	14.1	11	7	6	3	2	1	1	0	0	4	4.4	0.98
Abner Uribe	MIL	23	14	0	0	0	14.1	15	11	14	12	1	2	2	3	2	0	6.91	1.88
Dylan Lee	ATL	29	8	0	0	0	14	11	3	11	7	1	0	1	0	0	0	1.93	1.29
Joe Jimenez	ATL	29	14	0	0	0	14	10	3	14	2	0	0	0	0	0	8	1.93	0.86
Sixto Sanchez	MIA	25	9	2	0	0	14	20	13	9	4	2	0	1	0	1	1	8.36	1.71
Robert Suarez	SD	33	13	0	0	0	13.2	7	1	11	4	1	1	0	10	0	0	0.66	0.8
Evan Phillips	LAD	29	14	0	0	0	13.2	10	1	17	4	0	0	0	8	0	0	0.66	1.02
Tyler Rogers	SF	33	15	0	0	0	13.2	15	4	9	0	2	0	0	0	0	6	2.63	1.1
Jose Alvarado	PHI	28	15	0	0	0	13.2	10	6	14	7	0	1	1	6	0	2	3.95	1.24
Landen Roupp	SF	25	10	0	0	0	13.2	14	8	12	8	1	0	0	0	0	0	5.27	1.61
A.J. Puk	MIA	29	4	4	0	0	13.2	19	14	12	17	1	0	4	0	0	0	9.22	2.63
Mark Leiter	CHC	33	15	0	0	0	13.1	11	1	14	7	0	1	1	0	0	6	0.68	1.35
Kyle Finnegan	WSH	32	14	0	0	0	13.1	6	3	14	6	2	1	2	10	1	0	2.03	0.9
Raisel Iglesias	ATL	34	14	0	0	0	13.1	11	3	9	3	0	0	0	8	2	0	2.03	1.05
Yunior Marte	PHI	29	12	0	0	0	13.1	12	4	12	5	2	0	0	0	1	2	2.7	1.28
Matt Barnes	WSH	33	14	0	0	0	13.1	16	10	10	4	1	0	0	0	0	0	6.75	1.5
Matt Strahm	PHI	32	13	0	0	0	13	9	2	20	1	0	2	0	0	1	3	1.38	0.77
